producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria
70,2025-02-21 17:24:02,Intel Core i5-12600K 3.7 GHz,https://www.pccomponentes.com/intel-core-i5-12600k-37-ghz,"183,99€","219,99€","4,8/5",464 opiniones,Intel
71,2025-02-21 17:24:02,Intel Core i7-14700K 3.4/5.6GHz Box,https://www.pccomponentes.com/intel-core-i7-14700k-34-56ghz-box,"422,99€","499,99€","4,7/5",182 opiniones,Intel
72,2025-02-21 17:24:02,Intel Core i7-12700 2.1 GHz,https://www.pccomponentes.com/intel-core-i7-12700-21-ghz,"314,99€","349,99€","4,8/5",158 opiniones,Intel
73,2025-02-21 17:24:02,Intel Core i7-14700F 2.1/5.4GHz Box,https://www.pccomponentes.com/intel-core-i7-14700f-21-54ghz-box,"349,94€","429,90€","4,8/5",56 opiniones,Intel
74,2025-02-21 17:24:02,Intel Core i3-12100 3.3 GHz,https://www.pccomponentes.com/intel-core-i3-12100-33-ghz,"121,99€","134,99€","4,7/5",71 opiniones,Intel
75,2025-02-21 17:24:02,Intel Core i3-12100F 3.3 GHz,https://www.pccomponentes.com/intel-core-i3-12100f-33-ghz,"84,55€",,"4,7/5",184 opiniones,Intel
76,2025-02-21 17:24:02,Intel Core Ultra 7 265K 3.3/5.5GHz Box,https://www.pccomponentes.com/procesador-intel-core-ultra-7-265k-33-55ghz-box,"462,99€",,"4,8/5",36 opiniones,Intel
77,2025-02-21 17:24:02,Intel Core i9-14900KF 3.2/6GHz Box,https://www.pccomponentes.com/intel-core-i9-14900kf-32-6ghz-box,"509,99€","599,99€","4,5/5",114 opiniones,Intel
78,2025-02-21 17:24:02,Intel Core Ultra 9 285K 3.2/5.7GHz Box,https://www.pccomponentes.com/procesador-intel-core-ultra-9-285k-32-57ghz-box,669€,,"4,5/5",13 opiniones,Intel
79,2025-02-21 17:24:02,Intel Core i5-14400 2.5/4.7GHz Box,https://www.pccomponentes.com/intel-core-i5-14400-25-47ghz-box,"202,63€","279,89€","4,5/5",25 opiniones,Intel
