producto_id,Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,Battery mAh
410,,,,,,,,,,
411,,,,,,,,,,
412,3.8,8.0,8.0,256.0,14.0,Intel,4.0,macOS,1.37,
413,4.6,10.0,16.0,512.0,13.5,Intel,2.0,Windows,990g,
414,3.5,4.0,16.0,512.0,15.6,NVidia,2.0,,,
415,,0.0,,,,,,,,
416,2.4,8.0,16.0,512.0,,,3.0,Windows,1.87,68
417,4.8,12.0,16.0,1.0,16.0,Intel,5.0,Windows,1.87,
418,5.0,10.0,16.0,1.0,13.5,Intel,4.0,Windows,990,45000
419,,,,,,,,,,
420,4.8,16.0,32.0,1.0,14.0,Intel,7.0,Windows,1.38,
421,,0.0,,,,,,,,
422,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,94
423,,,,,,,,,,
424,4.0,16.0,32.0,1.0,14.0,Intel,6.0,Windows,1.18,
425,4.3,12.0,16.0,512.0,13.3,Intel,5.0,Windows,1.31,
426,,,,,,,,,,
427,,0.0,,,,,0.0,,,
428,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
429,,,,,,,,,,
430,4.6,10.0,16.0,512.0,14.0,Intel,4.0,Windows,1.41 kg,
431,,,,,,,,,,
432,2.9,6.0,16.0,512.0,14.0,AMD,4.0,Windows,1.39,
433,,4.0,,,,,,,,
434,4.4,10.0,8.0,512.0,15.6,Intel,5.0,Windows,1.78,
435,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,,,
436,4.4,10.0,8.0,512.0,15.6,Intel,4.0,Windows,1.74,
437,,,,,,,0.0,,,
438,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,80
439,,0.0,,,,,,,,
440,2.7,4.0,16.0,512.0,14.0,Intel,3.0,Windows,1.74,
441,,0.0,,,,,,,,
442,,0.0,,,,,,,,
443,1.6,4.0,8.0,256.0,13.3,Intel,5.0,Windows,1.33 kg,
444,1.6,4.0,16.0,512.0,13.3,Intel,5.0,Windows,1.23,
445,,,,,,,,,,
446,4.4,10.0,16.0,512.0,13.3,Intel,4.0,Windows,1.27,
447,,0.0,,,,,,,,
448,2.5,8.0,16.0,512.0,14.0,,2.0,,1.36,
449,,0.0,,,,,0.0,,,
450,4.5,14.0,16.0,512.0,14.0,Intel,6.0,Windows,1.41,
451,2.8,4.0,16.0,512.0,15.6,NVidia,3.0,,,
452,,,,,,,,,,
453,,,,,,,0.0,,,
454,,,,,,,,,,
455,,0.0,0.0,0.0,0.0,,0.0,,0,0
456,,0.0,,,,,,,,
457,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
458,,,,,,,,,,
459,,,,,,,,,,
460,,0.0,,,,,,,,
461,1.6,4.0,8.0,256.0,15.6,Intel,4.0,Windows,1.67,
462,1.8,4.0,16.0,512.0,15.6,Intel,5.0,Windows,1.67,
463,,,,,,,,,,
464,,,,,,,,,,
465,,0.0,,,,,,,,
466,,,,,,,,,,
467,,,,,,,,,,
468,,,,,,,,,,
469,,,,,,,,,,
470,,,,,,,,,,
471,2.5,4.0,16.0,512.0,15.6,NVidia,2.0,,,52000
472,,,,,,,,,,
473,,,,,,,,,,
474,,4.0,16.0,512.0,15.6,NVidia,3.0,,,
475,2.7,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
476,3.0,8.0,16.0,512.0,15.6,NVidia,2.0,,,
477,,,,,,,,,,
478,2.8,6.0,16.0,512.0,15.6,NVidia,2.0,,,
479,2.0,4.0,8.0,256.0,14.0,Intel,2.0,,1.48,
480,3.8,4.0,16.0,512.0,15.6,NVidia,2.0,Windows,,5000
481,,0.0,,,,,,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,2.7,8.0,16.0,512.0,15.6,NVidia,1.0,,,
485,4.3,12.0,16.0,512.0,14.0,Intel,5.0,Windows,1.39 kg,
486,5.1,8.0,16.0,1000.0,16.0,AMD,6.0,Windows,1.91 kg,
487,,,,,,,,,,
488,4.0,6.0,8.0,512.0,15.6,AMD,3.0,Windows,1.74 kg,
489,,,,,,,,,,
490,,,16.0,83.0,14.0,NVidia,4.0,macOS,2.31,
491,,,,,,,,,,
492,,,,,,,,,,
493,,0.0,,,,,,,,
494,,6.0,83.0,,14.1,NVidia,5.0,Windows,2.3 kg,
495,5.0,16.0,64.0,1000.0,15.6,NVidia,3.0,,2.35,
496,,8.0,16.0,512.0,15.6,NVidia,3.0,,,
497,,8.0,16.0,512.0,15.6,NVidia,4.0,,2,
498,1.5,8.0,16.0,512.0,15.6,NVidia,3.0,,2.39 kg,
499,5.5,20.0,32.0,1.0,16.1,NVidia,6.0,Windows,2.39,
500,5.5,20.0,32.0,1.0,16.1,NVidia,5.0,FreeDOS,2.39,
501,5.5,20.0,32.0,1000.0,16.1,NVidia,5.0,Windows,2.39 kg,
502,5.5,20.0,32.0,1.0,16.1,NVidia,5.0,FreeDOS,2.39,
503,2.8,4.0,16.0,512.0,15.6,NVidia,3.0,,,
504,,16.0,64.0,1000.0,15.6,NVidia,3.0,Windows,2.78,
505,,,,,,,,,,
506,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
507,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
508,,8.0,16.0,512.0,,,4.0,Windows,,
509,,,,,,,,Windows,61,3600
510,5.0,8.0,16.0,256.0,15.6,NVidia,3.0,Windows,1.63,
511,,8.0,16.0,512.0,15.6,NVidia,3.0,,4,
512,2.16,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,2.16,
513,,,64.0,256.0,15.65,NVidia,4.0,Windows,2.17,
514,,8.0,64.0,,35.65,NVidia,2.0,FreeDOS,2.16,None
515,,8.0,16.0,256.0,13.3,Intel,2.0,Windows,1.34,
516,4.8,8.0,32.0,1.0,14.0,Intel,3.0,Windows,1.34,
517,3.4,12.0,16.0,1000.0,14.0,,3.0,Windows,1.34 kg,
518,3.4,12.0,32.0,1.0,14.0,,3.0,Windows,1.34,
519,,,,,,,,,,
520,,8.0,16.0,512.0,14.0,AMD,2.0,Windows,1.74,
521,,,,,,,,,,
