producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones
1090,2025-02-28 13:31:12,"Portátil ASUS ROG Zephyrus G16 GA605WI AMD Ryzen AI 9 HX 370/32GB/2TB/RTX4070/16"" (PT)",https://www.pccomponentes.com/portatil-asus-rog-zephyrus-g16-ga605wi-amd-ryzen-ai-9-hx-370-32gb-2tb-rtx4070-16-pt,"3209,88€",0,"4,2/5",36 valoraciones
1091,2025-02-28 13:31:26,"Portátil ASUS ROG Zephyrus G16 OLED GU605CW-QR127W Intel Core Ultra 9 285H/64GB/2TB SSD/RTX 5080/16""",https://www.pccomponentes.com/portatil-asus-rog-zephyrus-g16-oled-gu605cw-qr127w-intel-core-ultra-9-285h-64gb-2tb-ssd-rtx-5080-16,"3999,00€",0,0,0
1092,2025-02-28 13:31:43,"ASUS Rog Strix G17 G713QR-K4048 AMD Ryzen 9 5900HX/16GB/1TB SSD/RTX 3070/17.3"" Reacondicionado",https://www.pccomponentes.com/asus-rog-strix-g17-g713qr-k4048-amd-ryzen-9-5900hx-16gb-1tb-ssd-rtx-3070-173,0,0,"4,5/5",0
1093,2025-02-28 13:31:59,"ASUS Rog Strix G17 G713QR-K4189 AMD Ryzen 7 5800H/32GB/1TB SSD/RTX 3070/17.3"" Reacondicionado",https://www.pccomponentes.com/asus-rog-strix-g17-g713qr-k4189-amd-ryzen-7-5800h-32gb-1tb-ssd-rtx-3070-173,0,0,"4,7/5",0
1094,2025-02-28 13:32:15,"ASUS TUF Dash F15 FX517ZE-HN050 Intel Core i7-12650H/16GB/512GB SSD/RTX 3050Ti/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-dash-f15-fx517ze-hn050-intel-core-i7-12650h-16gb-512gb-ssd-rtx-3050ti-156,0,0,"4,5/5",0
1095,2025-02-28 13:32:31,"ASUS TUF Dash F15 FX517ZM-HN002 Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-dash-f15-fx517zm-hn002-intel-core-i7-12650h-16gb-512gb-ssd-rtx-3060-156,0,0,"4,6/5",0
1096,2025-02-28 13:32:45,"ASUS TUF Dash F15 FX517ZR-HN081 Intel Core i7-12650H/32GB/1TB SSD/RTX 3070/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-dash-f15-fx517zr-hn081-intel-core-i7-12650h-32gb-1tb-ssd-rtx-3070-156,"1084,45€",0,"4,4/5",0
1097,2025-02-28 13:33:00,"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-gaming-a15-2023-fa507nv-lp041-amd-ryzen-7-7735hs-16gb-1tb-ssd-rtx-4060-156,"1156,85€",0,"4,8/5",0
1098,2025-02-28 13:33:15,"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",https://www.pccomponentes.com/asus-tuf-gaming-a15-2023-fa507xi-lp024-amd-ryzen-9-7940hs-32gb-512gb-ssd-rtx-4070-156,"1626,13€",0,"4,6/5",0
1099,2025-02-28 13:33:28,"Portátil ASUS TUF Gaming A15 FA506NFR-HN008 AMD Ryzen 7 7435HS/16GB/512GB SSD/RTX 2050/15.6""",https://www.pccomponentes.com/portatil-asus-tuf-gaming-a15-fa506nfr-hn008-amd-ryzen-7-7435hs-16gb-512gb-ssd-rtx-2050-156,"760,52€",0,"4,2/5",1.268 valoraciones
