producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria_id,descuento_porcentaje,marca
239,2025-02-28 09:45:00,"Portátil Dell Latitude 5450 Intel Core Ultra 5 125U/16GB/512GB SSD/14"" Teclado Portugués",https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-portugues,947.38,947.38,0.0,0,2,0.0,Desconocida
240,2025-02-28 09:45:20,"Portátil Dell Latitude 5450 Intel Core Ultra 7 155U/16 GB/512GB SSD/14""",https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-7-155u-16-gb-512gb-ssd-14,1389.0,1389.0,0.0,0,2,0.0,Desconocida
241,2025-02-28 09:45:41,"Portátil Dell Latitude 5450 Intel Core Ultra 7 165U/16GB/512GB SSD/14"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-7-165u-16gb-512gb-ssd-14-teclado-frances,1734.22,1734.22,3.8,271,2,0.0,Desconocida
242,2025-02-28 09:45:56,"Dell Latitude 5500 Intel Core i5-8265U/8GB/256GB SSD/15.6"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-5500-intel-core-i5-8265u-8gb-256gb-ssd-156,329.99,329.99,4.3,54,8,0.0,Desconocida
243,2025-02-28 09:46:10,"Dell Latitude 5510 Intel Core i5-10310U/8GB/512GB SSD/15.6"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-5510-intel-core-i5-10310u-8gb-512gb-ssd-156,542.29,542.29,4.0,133,8,0.0,Desconocida
244,2025-02-28 09:46:26,"Dell Latitude 5540 Intel Core i7-1355U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/dell-latitude-5540-intel-core-i7-1355u-16gb-512gb-ssd-156,1286.31,1286.31,4.5,0,1,0.0,Desconocida
245,2025-02-28 09:46:42,"Portátil Dell Latitude 5550 Intel Core Ultra 5 125U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-5-125u-16gb-512gb-ssd-156,1064.72,1064.72,0.0,0,2,0.0,Desconocida
246,2025-02-28 09:47:01,"Portátil Dell Latitude 5550 Intel Core Ultra 5 125U/16GB/512GB SSD/15.6"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-5-125u-16gb-512gb-ssd-156-teclado-frances,1334.03,1334.03,3.8,271,2,0.0,Desconocida
247,2025-02-28 09:47:17,"Portátil Dell Latitude 5550 Intel Core Ultra 5 125U/8GB/512GB SSD/15.6"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-5-125u-8gb-512gb-ssd-156-teclado-frances,1140.94,1140.94,3.8,271,2,0.0,Desconocida
248,2025-02-28 09:47:31,"Portátil Dell Latitude 5550 Intel Core Ultra 7 155U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-7-155u-16gb-512gb-ssd-156,1389.0,1389.0,0.0,0,2,0.0,Desconocida
249,2025-02-28 09:47:49,"Portátil Dell Latitude 5550 Intel Core Ultra 7 165U/16GB/512GB SSD/15.6"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-5550-intel-core-ultra-7-165u-16gb-512gb-ssd-156-teclado-frances,1676.5,1676.5,3.8,271,2,0.0,Desconocida
250,2025-02-28 09:48:04,"Dell Latitude 7300 Intel Core i5-8365U/16 GB/512GB SSD/13.3"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-7300-intel-core-i5-8365u-16-gb-512gb-ssd-133,369.0,369.0,3.6,133,8,0.0,Desconocida
251,2025-02-28 09:48:18,"Portátil Dell Latitude 7300 Intel Core i5-8365U/8GB/256GB SSD/13.3"" Reacondicionado",https://www.pccomponentes.com/portatil-dell-latitude-7300-intel-core-i5-8365u-8gb-256gb-ssd-133,328.99,328.99,4.3,133,8,0.0,Desconocida
252,2025-02-28 09:48:33,"Portátil Dell Latitude 7320 Intel Core i7-1185G7/16GB/256GB SSD/13.3"" Reacondicionado",https://www.pccomponentes.com/portatil-dell-latitude-7320-intel-core-i7-1185g7-16gb-256gb-ssd-133,658.6,658.6,4.3,133,1,0.0,Desconocida
253,2025-02-28 09:48:53,404,https://www.pccomponentes.com/dell-latitude-7390-intel-core-i5-8350u-8-gb-256gb-ssd-133,0.0,0.0,0.0,0,4,0.0,Desconocida
254,2025-02-28 09:49:08,"Dell Latitude 7390 Intel Core i5-8350U/8GB/256GB SSD/13.3"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-7390-intel-core-i5-8350u-8gb-256gb-ssd-133,285.0,285.0,4.5,139,8,0.0,Desconocida
255,2025-02-28 09:49:29,"Dell Latitude 7400 Intel Core i5-8365U/8GB/256GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-7400-intel-core-i5-8365u-8gb-256gb-ssd-14,272.98,272.98,4.1,54,8,0.0,Desconocida
256,2025-02-28 09:49:44,"Dell Latitude 7400 Intel Core i7-8665U/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-7400-intel-core-i7-8665u-16gb-512gb-ssd-14,574.93,574.93,2.5,133,1,0.0,Desconocida
257,2025-02-28 09:49:59,"Dell Latitude 7410 Intel Core i7-10610U/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-7410-intel-core-i7-10610u-16gb-512gb-ssd-14,642.94,642.94,5.0,133,1,0.0,Desconocida
258,2025-02-28 09:50:19,"Dell Latitude 7420 Intel Evo Core i7-1185G7/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-7420-intel-evo-core-i7-1185g7-16gb-512gb-ssd-14,789.12,789.12,4.3,133,1,0.0,Desconocida
259,2025-02-28 09:50:34,"Portátil Dell Latitude 7430 Intel Core i7-1265U/16GB/256GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/portatil-dell-latitude-7430-intel-core-i7-1265u-16gb-256gb-ssd-14,865.08,865.08,4.3,133,1,0.0,Desconocida
260,2025-02-28 09:50:52,"Portátil Dell Latitude 7440 Intel Core i5-1345U/16GB/512GB SSD/14"" Teclado Alemán",https://www.pccomponentes.com/portatil-dell-latitude-7440-intel-core-i5-1345u-16gb-512gb-ssd-14-teclado-aleman,1833.25,1833.25,4.5,983,4,0.0,Desconocida
