producto_id,precio,opiniones,rating,Processor Cores,Processor Speed,RAM Gbs,Storage Gbs,marca,marca_encoded,cluster
923,949.0,0,3.8,10.0,4.6,16.0,512.0,HP,5,1
924,1204.35,0,4.8,4.0,1.8,16.0,512.0,Lenovo,6,0
925,2018.46,0,4.362676056338028,7.282442748091603,5.0,16.0,512.0,Lenovo,6,1
927,1679.0,0,4.0,7.282442748091603,4.0,16.0,512.0,Desconocida,4,0
928,1469.99,0,4.0,7.282442748091603,4.0,16.0,512.0,Desconocida,4,0
931,819.0,0,5.0,7.282442748091603,4.3,16.0,512.0,ASUS,0,0
933,1985.87,21,3.8,16.0,5.1,32.0,1.0,ASUS,0,1
934,1748.99,0,4.362676056338028,7.282442748091603,5.1,32.0,1000.0,ASUS,0,1
936,1399.0,255,4.5,14.0,5.0,64.0,2048.0,Desconocida,4,1
937,808.99,0,5.0,8.0,2.4,16.0,512.0,Desconocida,4,0
938,1519.72,7386,4.5,8.0,3.5,16.0,512.0,Desconocida,4,2
939,422.49,21,4.8,8.0,3.8,8.0,512.0,HP,5,0
940,499.0,0,4.362676056338028,8.0,2.4,16.0,512.0,HP,5,0
941,710.0,87,2.5,10.0,4.6,16.0,512.0,HP,5,1
943,2249.0,0,2.5,20.0,5.5,32.0,1.0,HP,5,1
945,1299.0,0,5.0,12.0,3.4,16.0,458.2550607287449,HP,5,1
947,1799.0,0,4.8,16.0,1.4,32.0,2048.0,Desconocida,4,1
948,699.0,0,4.5,7.282442748091603,4.9,16.0,458.2550607287449,Lenovo,6,0
951,1777.75,0,4.8,14.0,4.8,32.0,1.0,MSI,7,1
954,699.99,10351,4.4,10.0,4.7,8.0,512.0,Acer,1,2
955,379.99,0,4.362676056338028,8.0,2.0,16.0,1.0,Alurin,2,0
956,390.0,0,4.2,4.0,2.5,8.0,500.0,Alurin,2,0
957,919.95,0,4.5,4.0,2.5,16.0,512.0,Desconocida,4,0
959,999.0,1797,4.5,8.0,4.7,16.0,512.0,Lenovo,6,1
960,1002.01,7386,3.8,10.0,3.7,16.0,512.0,Lenovo,6,2
961,469.99,0,4.362676056338028,8.0,2.0,32.0,1.0,Alurin,2,0
966,619.0,0,4.6,10.0,3.4,16.0,512.0,ASUS,0,0
967,1073.15,0,4.5,8.0,4.75,32.0,1.0,ASUS,0,1
971,979.0,0,4.362676056338028,8.0,2.5,16.0,512.0,HP,5,0
973,484.99,0,4.7,6.0,4.4,8.0,512.0,HP,5,0
974,405.47,7386,3.2,6.0,4.4,8.0,256.0,HP,5,2
975,0.0,0,4.362676056338028,4.0,1.6,16.0,256.0,Desconocida,4,0
976,1299.0,0,4.3,16.0,4.8,32.0,512.0,HP,5,1
978,1229.0,0,5.0,14.0,5.0,16.0,512.0,HP,5,1
979,588.04,21,5.0,10.0,3.7,8.0,512.0,Lenovo,6,0
980,474.11,7386,4.6,4.0,4.1,8.0,256.0,Lenovo,6,2
981,854.99,87,4.6,10.0,5.0,16.0,512.0,Lenovo,6,1
982,1551.06,880,4.5,10.0,4.9,32.0,1.0,MSI,7,1
984,1339.99,0,5.0,7.282442748091603,4.0,16.0,512.0,Desconocida,4,0
986,1381.67,21,4.7,4.0,2.5,16.0,512.0,Desconocida,4,0
989,1098.99,0,4.362676056338028,7.282442748091603,2.4,16.0,512.0,ASUS,0,0
991,743.0,1422,4.9,10.0,4.6,16.0,512.0,ASUS,0,0
992,1215.08,7386,4.3,4.0,2.5,8.0,256.0,ASUS,0,2
993,539.9,1491,4.9,10.0,4.4,8.0,512.0,Acer,1,0
